cause,effect,sentence,source
slavery,rapid_accumulation_of_wealth,"As previously alluded, Shaler believed that slavery was greatly beneficial for the United States, and even went so far as to suggest that slaves themselves benefitted from this institution, suggesting slavery ""led to the rapid accumulation of wealth, and in this way brought the people the sooner into a condition in which they could control their own destiny.""",wikipedia_sentence
slavery,people_the_sooner_into_a_condition_in_which_they_could_control_their_own_destiny,"As previously alluded, Shaler believed that slavery was greatly beneficial for the United States, and even went so far as to suggest that slaves themselves benefitted from this institution, suggesting slavery ""led to the rapid accumulation of wealth, and in this way brought the people the sooner into a condition in which they could control their own destiny.""",wikipedia_sentence
pollution,primary_threat,"The primary threat is due to habitat deconstruction and pollution, as farmlands continue to be developed across central Thailand.",wikipedia_sentence
crime,stigmatization_of_the_person_so_affected,"It is the crime which leads to the stigma and stigmatization of the person so affected.""",wikipedia_sentence
crime,stigma,"It is the crime which leads to the stigma and stigmatization of the person so affected.""",wikipedia_sentence
crime,neighborhood_'s_reputation_of_being_``_bravo,"However, the crime which causes the neighborhood's reputation of being ""bravo"" or fierce is robbery.",wikipedia_sentence
opus_dei,ultra-right_wing_regimes,"From its early association with the far-right Franco regime in Spain, Opus Dei has been associated with ultra-right wing regimes, but also claims members from left-wing parties such as the UK Labour Party (see Opus Dei and politics).",wikipedia_sentence
crime,massive_shock,"The crime, regarded as one of the most infamous in Australia's history, caused massive shock at the time and attracted huge publicity, and was the country's first known kidnapping for ransom.",wikipedia_sentence
sigmund_freud,revolution_in_psychology_through_the_foundation_of_psychoanalysis,Sigmund Freud caused a revolution in psychology through the foundation of psychoanalysis.,wikipedia_sentence
alcoholism,play_advances,"As the play advances more and more of her eccentricities are attributed to alcoholism, climaxing in her thoroughly drunk presence in the third act.",wikipedia_sentence
plato,similar_epigram,A similar epigram is attributed to Plato:,wikipedia_sentence
fascism,similar_art_style,"Examples include the Socialist realism style associated with Communist regimes, and sometimes the similar art style associated with Fascism.",wikipedia_sentence
pollution,declines_in_numbers,"Traditional seafood harvests, particularly shellfish, have been curtailed recently due to declines in numbers and quality caused by pollution and weather related events such as hurricanes, flooding, or droughts.",wikipedia_sentence
fractional_reserve_banking,financial_instability,Mises Institute Senior Fellow and former United States representative Ron Paul endorsed Huerta de Soto's view that fractional reserve banking is the cause of financial instability.,wikipedia_sentence
tax,reduced_investment,"Chairman of the company, Derek Netherton warned that such a tax would lead to ""further unemployment, high street closures and reduced investment"".",wikipedia_sentence
tax,high_street_closures,"Chairman of the company, Derek Netherton warned that such a tax would lead to ""further unemployment, high street closures and reduced investment"".",wikipedia_sentence
tax,further_unemployment,"Chairman of the company, Derek Netherton warned that such a tax would lead to ""further unemployment, high street closures and reduced investment"".",wikipedia_sentence
capitalism,"significant_loss_of_political_,_democratic_and_economic_power_for_the_vast_majority_of_the_global_human_population","Critics argue that capitalism leads to a significant loss of political, democratic and economic power for the vast majority of the global human population.",wikipedia_sentence
capitalism,unfair_distribution_of_wealth_and_power,"Critics argue that capitalism is associated with the unfair distribution of wealth and power; a tendency toward market monopoly or oligopoly (and government by oligarchy); imperialism, counter-revolutionary wars and various forms of economic and cultural exploitation; repression of workers and trade unionists and phenomena such as social alienation, economic inequality, unemployment and economic instability.",wikipedia_sentence
crime,spread_of_a_disease,"The maximum punishment increases if victim is under eighteen years of age, if the defendant is in a position of authority over the victim, if the defendant has repeatedly committed the crime or if the crime results in the spread of a disease.",wikipedia_sentence
alcoholism,family_to_ruin,His father's violence and alcoholism brought the family to ruin and forced young Ivan to provide for the household by becoming an innkeeper.,wikipedia_sentence
alcoholism,alex_taylor_'s_death,"According to the official Rolling Stone biography of James Taylor, Alex Taylor's death has been attributed to alcoholism.",wikipedia_sentence
prostitution,gender_imbalances,"On the demand side, prostitution has been associated with the gender imbalances brought about by the one-child policy.",wikipedia_sentence
prostitution,illegal_activities,The illegal activities and problems associated with prostitution had led some to believe that there would be benefits if prostitution was legalized.,wikipedia_sentence
prostitution,incidences_of_violence,"Apart from incidences of violence directly associated with prostitution, an increasing number of women who sell sex have been physically assaulted, and even murdered, in the course of attempts to steal their money and property.",wikipedia_sentence
censorship,considerable_alterations,The Tale was first published posthumously by Vasily Zhukovsky in 1840 with considerable alterations due to censorship; the Priest character was replaced by a merchant.,wikipedia_sentence
alcoholism,physiological_thirst,"Alcoholism may cause physiological thirst since ethanol inhibits vasopressin, the hormone primarily responsible for water retention in osmoregulation.",wikipedia_sentence
alcoholism,father_'s_death,"O'Donnell's younger daughter, Helen, later attributed her father's death to alcoholism.",wikipedia_sentence
alcoholism,was_n't_able_to_continue_to_achieve_success,"Although country music was changing in the late 70s, moving to the smooth sounds of country pop, he wasn't able to continue to achieve success, which was due to alcoholism.",wikipedia_sentence
petrol,high_ultimate_temperatures,"Traffic tunnels may be traversed by vehicles carrying flammable goods, such as petrol, liquefied petroleum gas and other hydrocarbons, which are known to cause a very rapid temperature rise and high ultimate temperatures in case of a fire (see the hydrocarbon curves in fire-resistance rating).",wikipedia_sentence
petrol,rapid_temperature_rise,"Traffic tunnels may be traversed by vehicles carrying flammable goods, such as petrol, liquefied petroleum gas and other hydrocarbons, which are known to cause a very rapid temperature rise and high ultimate temperatures in case of a fire (see the hydrocarbon curves in fire-resistance rating).",wikipedia_sentence
prison,luojiadu_coal_mine,The prison was established in 1955 and has been associated with the Luojiadu Coal Mine (罗家渡煤矿) for decades.,wikipedia_sentence
pollution,general_decline_of_workforce_size,"During the late 1970s and 1980s, corporate finances and business declined, as with much of the US steel industry, and Armco faced several pollution and obsolescence/international competition issues, which resulted in a general decline of workforce size and profitability and closure of several older facilities.",wikipedia_sentence
pollution,closure_of_several_older_facilities,"During the late 1970s and 1980s, corporate finances and business declined, as with much of the US steel industry, and Armco faced several pollution and obsolescence/international competition issues, which resulted in a general decline of workforce size and profitability and closure of several older facilities.",wikipedia_sentence
liberalism,freedom_of_the_press,"Liberalism led to freedom of the press, and ended newspaper taxes, along with a sharp reduction to government censorship.",wikipedia_sentence
prostitution,uk_economy,"According to data from the Office for National Statistics, prostitution contributed £5.3 billion to the UK economy in 2009.",wikipedia_sentence
alcoholism,summary_dismissal,"Depending on perceived value to the company, alcoholism could lead either to summary dismissal, or to a drying out period at a clinic.",wikipedia_sentence
alcoholism,drying_out_period,"Depending on perceived value to the company, alcoholism could lead either to summary dismissal, or to a drying out period at a clinic.",wikipedia_sentence
prostitution,shield_the_male_citizen_owner_from_the_shame,"Although concern for the slave's welfare may have been a factor in individual cases, this legal restriction seems also to have been intended to shield the male citizen owner from the shame or infamia associated with pimping and prostitution.",wikipedia_sentence
pollution,disappearance_from_many_lowland_waterways,"In recent decades, however, pollution and recreational boating have led to its disappearance from many lowland waterways"".",wikipedia_sentence
armenian_genocide,reduced_business_competition,"His business grew, in part, due to reduced business competition as a result of the Armenian Genocide.",wikipedia_sentence
tax,gross_revenues,"The Congress's Joint Committee on Taxation projected the tax would generate, from 1980 to 1990, additional gross revenues of approximately $393 billion.",wikipedia_sentence
tax,domestic_oil_production_losses,"The tax caused domestic oil production losses in every year until 1986, when crude prices declined below adjusted base prices resulting in zero windfall profit tax.",wikipedia_sentence
tax,production_losses,"The estimated production losses caused by the tax, as a % of the actual level of imported oil, under three assumed supply curve elasticities range from 3.2% of total imports to 12.7% of imports for this period, depending on price elasticity.",wikipedia_sentence
pollution,granite_ashlar_masonry_to_deteriorate,"Because of differential decay of stone blocks, water leakage from the upper viaduct, and pollution that caused the granite ashlar masonry to deteriorate and crack, the site was listed in the 2006 World Monuments Watch by the World Monuments Fund (WMF).",wikipedia_sentence
crime,shock,The crime caused shock and outrage across the country.,wikipedia_sentence
crime,outrage_across_the_country,The crime caused shock and outrage across the country.,wikipedia_sentence
pollution,castastrophic_decline_of_the_populations,"Pollution and the building of dams at the Lerma River in the Almoloya region along the villages Tenango, Santa Maria, Jajalpa and San Pedro, as well as domestic consumption, led also to a castastrophic decline of the populations.",wikipedia_sentence
pollution,moving_into_more_remote_areas,"It is the city's industrial center especially in textiles, though many factories are closing and moving into more remote areas due to pollution.",wikipedia_sentence
law_enforcement,trouble,"Law enforcement and biker gangs are both present in the game, and cause trouble for the player if he or she attacks them by mistake.",wikipedia_sentence
alcoholism,abnormality_of_mental_function,However a person suffering from alcoholism that has led to an abnormality of mental function may have access to the partial defence.,wikipedia_sentence
alcoholism,lawhorn_'s_sleepiness,"Lawhorn allegedly suffered from narcolepsy (Elvin Bishop denied this, believing that Lawhorn's sleepiness was due to alcoholism).",wikipedia_sentence
prostitution,closing_of_many_bars_and_gambling_halls,"Immediately upon becoming President of Cuba after the Cuban revolution of 1959, Manuel Urrutia ordered the closing of many bars and gambling halls associated with prostitution and the drug trade, this effectively ending Cuba's image as a hedonistic escape.",wikipedia_sentence
capitalism,social_problems,"In ""The Soul of Man"" Wilde argues that, under capitalism, ""the majority of people spoil their lives by an unhealthy and exaggerated altruism—are forced, indeed, so to spoil them"": instead of realising their true talents, they waste their time solving the social problems caused by capitalism, without taking their common cause away.",wikipedia_sentence
alcoholism,failings,"Jetton attributed his failings to alcoholism, disconnection from his faith, and a lack of balance in his life.",wikipedia_sentence
pollution,problems_around_the_campus,"The railroad noise, congestion, and pollution caused problems around the campus.",wikipedia_sentence
depleted_uranium,disorders,"As a magistrate, among the many investigations conducted by Casson - especially in the field of terrorism, the fight against corruption, environmental security, the protection of workers and citizens from exposure to carcinogenic agents - are those on the Peteano massacre, disloyalty of the intelligence service and the State apparatus, terrorism and radical right-wing and international subversive organisations, global trade in warfare material, the GLADIO case, political corruption in the Veneto region, the fire of La Fenice Theatre in Venice, the trials over deaths from VCM, PVC and asbestos in Marghera, investigations into environmental pollution, disorders caused by depleted uranium and radio spectrum pollution.",wikipedia_sentence
1919_world_series,famous_scandal_in_baseball_history,"The 1919 World Series resulted in the most famous scandal in baseball history, often referred to as the Black Sox Scandal.",wikipedia_sentence
pollution,cholera_to_enter_the_streams,"Burr stated that the pollution caused cholera to enter the streams, causing three deaths—including that of his son.",wikipedia_sentence
crime,kings_cross,The drugs and crime associated with this trade led to Kings Cross achieving a high level of notoriety.,wikipedia_sentence
alcoholism,rapid-onset_inflammation_of_the_pancreas,"There are two forms of pancreatitis, which are different in causes and symptoms, and require different treatment:\n\n\nAcute pancreatitis is a rapid-onset inflammation of the pancreas, most frequently caused by alcoholism or gallstones.",wikipedia_sentence
tax,hardships,"Libanius, Zosimus and Evagrius list examples of the hardships caused by this tax, probably because it was collected in one lump sum every four years.",wikipedia_sentence
pornography,great_divide_among_feminists,"One of the primary concerns with sexuality was the issue of pornography, which caused a great divide among feminists.",wikipedia_sentence
pornography,end_harm_to_women,An argument for approaches to end harm to women caused by pornography.,wikipedia_sentence
sea_level_rise,mangroves_to_move_inland,This is an issue apart from sea level rise which will cause mangroves to move inland even though both are caused by climate change.,wikipedia_sentence
prostitution,serious_harm,Prostitution is considered to cause serious harm both to individuals and to society as a whole.,wikipedia_sentence
censorship,lack_of_earlier_manuscripts,"The lack of earlier manuscripts, however, could be the result of censorship.",wikipedia_sentence
pedophilia,crimes,"Examples include crimes associated with sexual or family relations such as rape and sexual violence (the Inquisition was the first and only body who punished it across the nation), bestiality, pedophilia (often overlapping with sodomy), incest, child abuse or neglect and (as discussed) bigamy.",wikipedia_sentence
crime,social_exclusion,Many locals believe that this was just a spark for a more significant problem of social exclusion resulting from unemployment and crime.,wikipedia_sentence
alcoholism,physical_dependence_on_alcohol,"Alcoholism can also lead indirectly, through excess consumption, to physical dependence on alcohol, and diseases such as cirrhosis of the liver.",wikipedia_sentence
crime,changes_in_english_law,"Following a campaign by Kay Potts, Anna McGurk's mother, the crime led to changes in English law.",wikipedia_sentence
terrorism,terrorist_chic_derives_its_iconography_from_groups,"Regardless, because terrorist chic derives its iconography from groups and individuals often associated with violent conflict or terrorism, the term carries a greater pejorative tone than ""radical chic.""",wikipedia_sentence
pollution,extensive_damage_to_earth_'s_ecology,"For example, there was extensive damage to Earth's ecology and atmosphere resulting from pollution and deforestation.",wikipedia_sentence
censorship,public_controversy,This censorship caused public controversy.,wikipedia_sentence
crime,capture,"His last victim was his long-time girlfriend, a crime that ultimately led to his capture.",wikipedia_sentence
crime,stress,"Without a driver, the perpetrator may make errors due to the stress associated with the crime, or lack of ability to multi-task (such as leaving the car keys at the scene of the crime); a murderer needs to ""think strategically"" to get away with murder—to ""mislead police, stage crime scenes and destroy evidence.""",wikipedia_sentence
crime,make_sure_they_were_able_to_be_housed_and_pay_the_government_the_penalty,"The government agreed and Nunziante paid them a salary, to make sure they were able to be housed and pay the government the penalty associated with their crime.",wikipedia_sentence
terrorism,pre-reign_of_terror_historical_events,"Other pre-Reign of Terror historical events sometimes associated with terrorism include the Gunpowder Plot, an attempt to destroy the English Parliament in 1605.",wikipedia_sentence
terrorism,state_terror,"Terrorism was associated with state terror and the Reign of Terror in France, until the mid-19th century when the term also began to be associated with non-governmental groups.",wikipedia_sentence
terrorism,reign_of_terror_in_france,"Terrorism was associated with state terror and the Reign of Terror in France, until the mid-19th century when the term also began to be associated with non-governmental groups.",wikipedia_sentence
crime,gothic_subculture_in_the_media,"The crime, perpetrated by two young men dressed in black trench coats who were known to be fans of heavy, dark themed music, was immediately associated with the Gothic subculture in the media despite the teens' lack of any concrete affiliation with the dress or musical style usually given this label.",wikipedia_sentence
pollution,weak_environmental_legislation,"As populational growth in its area is still relatively high (the feeder areas of the aquifer, especially the wettest ones, may locate even important and big metropolitan areas such as São Paulo and Curitiba), monitoring is required to avoid deplenishing, and pollution, that would be associated with the still very weak environmental legislation concerning farming and with the still low performance of the coverage of sanitation (mainly in the form of discharge of untreated sewage and exposed untreated garbage, including urban, what potentializes problems associated with flooding), in the countries affected.",wikipedia_sentence
pollution,health_disparities,"It has received numerous awards for its collaboration with grassroots, regional, and national groups in effecting change, notably for bringing attention to the health disparities resulting from pollution concentrated in the Bayview Hunters-Point neighborhood of the City of San Francisco.",wikipedia_sentence
prostitution,streets,"These streets, associated with prostitution, had very evocative if indelicate names including the Rue du Poil-au-con (or hair of the con, from the Latin cunnus meaning female genitalia, hence Street of the Pubic Hair, or Poil du pubis), later altered to the Rue du Pélican, in the 1st arrondissement, near the first Porte Saint-Honoré, and the Rue Tire-Vit (Pull-Cock, i.e. penis, later the Rue Tire-Boudin, Pull-Sausage) now Rue Marie-Stuart, in the 2nd arrondissement, near the first Porte Saint-Denis.",wikipedia_sentence
truth,heart_surrender_to_the_will_of_god,"When properly understood through a heart appreciation of what it cost the Godhead to redeem fallen man from sin, this truth results in a heart surrender to the will of God, producing faithful obedience to all the commandments of God.",wikipedia_sentence
pollution,irreversible_ecological_damage,"During the mission briefing Drew discovers that an advanced environmental simulation program called Earth-5 has predicted that there are only five years remaining before irreversible ecological damage caused by industrialisation, pollution and the overuse and destruction of natural resources will cause the Earth’s demise.",wikipedia_sentence
crime,political_uproar,The crime caused a political uproar and condemnation of railway station security.,wikipedia_sentence
crime,condemnation_of_railway_station_security,The crime caused a political uproar and condemnation of railway station security.,wikipedia_sentence
tax,aneuploidy,"Tax also causes aneuploidy (abnormal chromosome numbers), which is a possible cause of transformation (normal cells becoming cancer cells).",wikipedia_sentence
slavery,armed_conflict_in_missouri,"The next year, he published Struggle for Missouri, a history of the controversy concerning slavery that  resulted in armed conflict in Missouri.",wikipedia_sentence
pollution,collapse_of_fish_populations,"Oceana bases its policy campaign goals on science to achieve concrete and measurable results through targeted campaigns that combine policy, advocacy, science, law, media, and public pressure to prevent collapse of fish populations, marine mammals and other sea life caused by industrial fishing and pollution.",wikipedia_sentence
mormonism,unusual_symbolic_statuary,"The park, which is filled with unusual symbolic statuary associated with Mormonism, notably to the Sphinx with Joseph Smith's head, was a labor of love designed and created by LDS businessman Thomas Battersby Child, Jr. (1888-1963) in his spare time.",wikipedia_sentence
alcoholism,father_to_disinherit_him_in_1701,"His alcoholism and irresponsibility caused his father to disinherit him in 1701, leaving his brother James to become master of the Lowther estates at Whitehaven.",wikipedia_sentence
pollution,extinction_of_both_species_of_vendace_from_its_very_restricted_range_in_south-western_scottish_freshwaters,Pollution and predation led to the extinction of both species of vendace from its very restricted range in south-western Scottish freshwaters in 1980.,wikipedia_sentence
censorship,reduction_of_violence,The series' violence resulted in conflicts with the Motion Picture Association of America and news media concerning censorship resulting in a reduction of violence and gore in Scream 3 when the Columbine High School massacre brought increased focus on the media's influence on society.,wikipedia_sentence
alcoholism,decline,He became a journalist in Mozambique and published three books of poetry before his decline caused by alcoholism.,wikipedia_sentence
federal_communications_commission,change_in_channel_assignment,"The change in channel assignment was due to the Federal Communications Commission (FCC)'s auction of block B of the lower 700 MHz frequency band, which is now used by cellular telephones.",wikipedia_sentence
world_war_i,devastation,"Her sister Eulalia was a frequent visitor, and she was a great help after the devastation caused by World War I",wikipedia_sentence
censorship,considerable_complications,Considerable complications were caused by censorship and the need to prevent the enemy from learning how much damage they had inflicted.,wikipedia_sentence
pollution,large-scale_protests,The pollution made by company led to many large-scale protests.,wikipedia_sentence
pollution,contamination_of_surface_water.water_pollutants,"The pollution, lack of sanitation and open air defecation, leads to contamination of surface water.Water pollutants create a wide variety of problems by entering into the food chain.",wikipedia_sentence
tax,shona_part_of_the_rebellion_against_the_colonialists_in_1896,"Coinciding with confiscations of cattle, the introduction of forced labour and a series of natural disasters, the tax probably contributed to the Shona part of the rebellion against the colonialists in 1896, known as the First Chimurenga or Second Matabele War.",wikipedia_sentence
pollution,serious_declines_in_some_species,Pollution has led to serious declines in some species.,wikipedia_sentence
terrorism,deaths_of_thousands,These campaigns involved terrorism resulting in the deaths of thousands.,wikipedia_sentence
prostitution,illnesses,"On September 12, 1828, Father Jean Gailhac was assigned as chaplain to the civil and military hospital of the city of Béziers where he met many women who suffered from illnesses which were the result of prostitution.",wikipedia_sentence
capitalism,16-year-old_'s_suicide,"In a video shown on July 29, 2006, the Borf Brigade – the group claiming responsibility for the graffiti spree – asserted that capitalism and the culture of aesthetics created alienation and feelings of worthlessness that contributed to the 16-year-old's suicide.",wikipedia_sentence
pollution,1929_blasts,"In combination with problems in the sewer system's design, this pollution likely caused the 1929 blasts.",wikipedia_sentence
pollution,destruction_of_aquatic_life_in_the_lake,"This pollution led to the destruction of aquatic life in the lake and with the food-source getting depleted, the migratory birds started to avoid the lake.",wikipedia_sentence
censorship,public_outcry,The censorship led to public outcry at the time.,wikipedia_sentence
crime,decline,"By the mid-1970s, however, Market Square was in a state of decline resulting from increased traffic, crime and business closures.",wikipedia_sentence
prostitution,criminalising_activities,"Since Federation in 1901, the emphasis has been on criminalising activities associated with prostitution.",wikipedia_sentence
prostitution,female_factory_at_cascades,"Certainly brothels were established by the end of the 1820s, and records show girls as young as 12 were involved, while prostitution was associated with the female factory at Cascades.",wikipedia_sentence
pollution,chytridiomycosis,"It is threatened by chytridiomycosis and habitat loss caused by agriculture, logging, and pollution.",wikipedia_sentence
pollution,rivers_to_become_polluted,Also the pollution caused by the agricultural and mine-tailing of humans in the area is causing the mountain streams and rivers to become polluted leaving fewer places for frogs to produce and rear their young.,wikipedia_sentence
pollution,mountain_streams,Also the pollution caused by the agricultural and mine-tailing of humans in the area is causing the mountain streams and rivers to become polluted leaving fewer places for frogs to produce and rear their young.,wikipedia_sentence
pollution,salamander_habitat_loss,"Salamander habitat loss is mainly due to outright destruction, fragmentation, forestry practice, and pollution.",wikipedia_sentence
pollution,drop_in_population,One cause of the drop in population was pollution.,wikipedia_sentence
slavery,legal_disabilities,Most European Jews lived in poor communities on the margins of Christian society; they continued to suffer most of the legal disabilities associated with slavery.,wikipedia_sentence
crime,sensation_in_omaha,"The crime caused a sensation in Omaha, Chicago, where the King family was prominent at the time, and St. Louis, close to where the third wife was from.",wikipedia_sentence
pollution,temporary_closure_of_the_boating_lake,The pollution led to the temporary closure of the boating lake and part of the beach near the mouth of the river.,wikipedia_sentence
alcoholism,unhappy_environments,Unhappy family environments caused alcoholism only if the unhappy environments were the result of alcoholism in the first place.,wikipedia_sentence
historicity_of_jesus,outrage_among_many_christians,"Joyce proposed controversial theories concerning the historicity of Jesus that caused outrage among many Christians, and for which he received numerous death threats.",wikipedia_sentence
crime,shock_in_colombia,"Abad returned to his home town in Colombia in 1987, but later that year his father was murdered by the paramilitaries in a crime that brought about shock in Colombia.",wikipedia_sentence
slavery,cruelty,"Kingsley asserted that when slavery is associated with cruelty it is an abomination; when it is joined with benevolence and justice, it ""easily amalgamates with the ordinary conditions of life"".",wikipedia_sentence
sea_level_rise,decrease_in_solar_radiation_at_the_sea_surface_level,"Sea level rise may cause a decrease in solar radiation at the sea surface level, affecting the ability of photosynthetic zooxanthellae to produce nutrients for the coral, whereas, a sudden exposure of the coral reef to the atmosphere due to a low tide event may induce coral bleaching.""",wikipedia_sentence
slavery,nullification_crisis,"Also, Calhoun said that slavery was the cause of the Nullification Crisis.",wikipedia_sentence
slavery,nullification_crisis_over_a_tariff,"During the debate at Alton, Lincoln said that slavery was the root cause of the Nullification crisis over a tariff, while his challenger Stephen Douglas disagreed.",wikipedia_sentence
terrorism,rhodesia_'s_intent_to_``_liquidate_the_internal_workings_of_those_organisations,"He declared Rhodesia's intent to ""liquidate the internal workings of those organisations associated with terrorism"", and warned neighbouring countries to prepare for ""any defensive strikes we might undertake"" against guerrilla bases in their respective territories.",wikipedia_sentence
prostitution,perceived_whitewashing_of_the_harm,"She was reproached for her perceived whitewashing of the harm caused by prostitution, for featuring mostly white self-identified ""sex workers"", and for ignoring how prostitution turns women into commodities.",wikipedia_sentence
fascism,similar_``_crimes_against_humanity,"It was one of a series of anti-fascist films in this period that addressed the dangers to society from groups that opposed immigrants (especially Catholics and Jews) and blacks, showing that fascism and racism resulted in similar ""crimes against humanity.""",wikipedia_sentence
pollution,death_of_animals,"Pollution of Natural Environment: ""Pollution or damage of land, water, or atmospheric air, resulted in mass disease incidence of people, death of animals, birds, or fish, or other grave consequences – shall be punished ...""",wikipedia_sentence
pollution,grave_consequences,"Pollution of Natural Environment: ""Pollution or damage of land, water, or atmospheric air, resulted in mass disease incidence of people, death of animals, birds, or fish, or other grave consequences – shall be punished ...""",wikipedia_sentence
pollution,mass_disease_incidence,"Pollution of Natural Environment: ""Pollution or damage of land, water, or atmospheric air, resulted in mass disease incidence of people, death of animals, birds, or fish, or other grave consequences – shall be punished ...""",wikipedia_sentence
crime,broad_themes,"The novel covers broad themes associated with war, crime and punishment, culpability of leaders, guilt, justice, honor, and the Vietnam War.",wikipedia_sentence
pollution,evacuation,Brookfield Engineering was suspected of causing the pollution that led to the evacuation and agreed to pay the relocation and cleanup costs without admitting responsibility.,wikipedia_sentence
alcoholism,severe_mental_disorder,Escalero went to trial in February 1995 but was declared insane with a severe mental disorder caused by alcoholism and schizophrenia and was confined to a psychiatric hospital.,wikipedia_sentence
pornography,decline,"The book is a response to the Jonesboro massacre, arguing that the tragedy was the result of a society in decline, and that abortion, pornography, media violence, premarital sex, divorce, drug abuse and homosexuality were the cause of the decline.",wikipedia_sentence
alcoholism,july_1978_demotion,"In 1972, he became news editor at the South China Morning Post, and, after a July 1978 demotion resulting from alcoholism, continued on in the newsroom till 1986, returning in 2003 to write for the Post's 100th anniversary publication, Post Impressions.",wikipedia_sentence
pollution,recreation_to_an_end,The site was turned into a popular bathing and picnic area but pollution and the hurricane of 1938 brought such recreation to an end.,wikipedia_sentence
pollution,loss_of_biodiversity_in_the_surrounding_seas,The pollution is also causing loss of biodiversity in the surrounding seas.,wikipedia_sentence
prostitution,dangerous_activities,"Prostitution may sometimes be associated with illegal, abusive, and dangerous activities.",wikipedia_sentence
prostitution,spread_of_sexually_transmitted_diseases,"In some places, prostitution may be associated with the spread of sexually transmitted diseases (STDs).",wikipedia_sentence
capitalism,paradox,"A postmortem accumulation of five writings of various subjects: The beginning of existence, a philosophical analysis of the First Intifada, the magnitude of experience, the paradox caused in Palestine by capitalism and an analysis of the concepts of time and place; A book that brings together many cultures, visions and times.",wikipedia_sentence
liberalism,social_democracy,His liberalism led him to social democracy and Kōtoku attempted to form the first Japanese Social Democratic Party in May 1901.,wikipedia_sentence
liberalism,kōtoku_attempted_to_form_the_first_japanese_social_democratic_party_in_may_1901,His liberalism led him to social democracy and Kōtoku attempted to form the first Japanese Social Democratic Party in May 1901.,wikipedia_sentence
subluxation,manipulation,"According to D.D. Palmer, subluxation was the sole cause of all diseases and manipulation was the cure for all diseases of the human race.",wikipedia_sentence
subluxation,diseases,"According to D.D. Palmer, subluxation was the sole cause of all diseases and manipulation was the cure for all diseases of the human race.",wikipedia_sentence
sea_level_rise,water_level_changes,"Sea level rise, alterations in water flow caused by water management practices in South Florida, and natural processes such as hurricanes, have caused water level changes and flooding, reducing available habitat.",wikipedia_sentence
crime,death_of_one_of_their_daughters,"Patricia and Emmanuel Cartier are a French husband and wife who in 2002 were convicted of deliberately injecting their five children with insulin, a crime which resulted in the death of one of their daughters.",wikipedia_sentence
crime,negligible_harm_to_society,"In December 1999 the local court in Opole found Ratajczak guilty of breaching the Institute of National Remembrance law that outlawed the denial of crimes against humanity committed by the Nazi or communist regimes in Poland, but that his crime had caused ""negligible harm to society"", and the court sentenced him to a year's probation.",wikipedia_sentence
alcoholism,faltering_marriage,"""Little Rock"" centers around a man, who is a recovering alcoholic trying to rebuild his life in Little Rock, Arkansas, which also serves as a metaphor for his faltering marriage caused by his alcoholism.",wikipedia_sentence
armenian_genocide,deaths_of_one_million,"In response to those condemnations, Egypt's interim president Adly Mansour announced on his Twitter account on August 17 that Egypt decided to sign the international document recognizing the Armenian Genocide:\n“Our representatives at the United Nations will sign the international document that acknowledges the Armenian genocide, which was committed by the Turkish military, leading to the deaths of one million.”",wikipedia_sentence
sea_level_rise,increased_waterlogging,"Current studies suggest that increased waterlogging is caused by sea level rise, a possible effect of global warming, which has many natural and anthropologic causes of its own.",wikipedia_sentence
alcoholism,premature_aging_of_the_brain,"The National Institute on Alcohol Abuse and Alcoholism has found, ""Alcoholism may accelerate normal aging or cause premature aging of the brain.""",wikipedia_sentence
alcoholism,aging,"Evidence shows that alcoholism or chronic alcohol consumption can cause both accelerated (or premature) aging – in which symptoms of aging appear earlier than normal – and exaggerated aging, in which the symptoms appear at the appropriate time but in a more exaggerated form.",wikipedia_sentence
capitalism,warfare,Before the war the party was officially committed to the antiwar argument that capitalism caused warfare.,wikipedia_sentence
crime,criticism_of_the_methods_of_transporting_prisoners_in_new_zealand,The crime occurred in a New Zealand prison van and led to criticism of the methods of transporting prisoners in New Zealand.,wikipedia_sentence
pollution,shift_in_the_water_supply_from_sources,Water shortages and pollution led to a shift in the water supply from sources within the city to the Bull Run River in the Cascade Range.,wikipedia_sentence
crime,two_years_imprisonment,For professionals in health care any information about a patient's drug abuse is confidential by law unless the patient is suspected of a crime that could result in at least two years imprisonment or of driving under the influence of drugs.,wikipedia_sentence
crime,sentence_of_forced_labor,"In premodern Finland and Sweden, vagrancy was a crime, which could result in a sentence of forced labor or forced military service.",wikipedia_sentence
pollution,state_of_georgia_over_damage,"After being sued by local farmers and the state of Georgia over damage caused by the pollution, the Tennessee Copper Company began to recapture the sulfur dioxide.",wikipedia_sentence
sea_level_rise,deposition_of_the_chalk_and_limestone_of_the_selma_group,Subsidence and sea level rise resulted in the deposition of the chalk and limestone of the Selma Group.,wikipedia_sentence
liberalism,welfare-state_policies_of_the_new_deal_programme_of_the_democratic_administration_of_pres_._franklin_d._roosevelt,"According to the Encyclopædia Britannica: ""In the United States, liberalism is associated with the welfare-state policies of the New Deal programme of the Democratic administration of Pres. Franklin D. Roosevelt, whereas in Europe it is more commonly associated with a commitment to limited government and laissez-faire economic policies"".",wikipedia_sentence
